time_sec,algae,daphnia,beetles,avg_stealth,avg_neuroticism,protected
1347,197,100,0,0.972979660157065,0.009,1
1357,190,100,0,0.9728829391778042,0.009,7
1367,200,100,0,0.9728829391778042,0.009,0
1378,198,100,0,0.9728829391778042,0.009,0
1388,199,100,0,0.9727862181985433,0.009,0
1398,200,100,0,0.9727862181985433,0.009,0
1408,180,100,0,0.972205474311579,0.006,0
1418,192,100,0,0.9743592157302621,0.006,0
1428,197,100,0,0.9789518359897316,0.006,2
1438,150,100,0,0.9789518359897316,0.006,5
1448,200,100,0,0.9788551150104706,0.006,0
1458,200,100,0,0.9788551150104706,0.006,0
1468,196,100,0,0.979307279445531,0.006,0
1478,188,100,0,0.9782785498342476,0.006,1
1488,26,100,0,0.9772498202229642,0.006,0
1498,193,100,0,0.9786057765933043,0.006,0
1508,196,100,0,0.9786057765933043,0.006,0
1518,190,100,0,0.9760961529356774,0.006,0
1529,192,100,0,0.9740386937131109,0.009,0
1539,197,100,0,0.9740386937131109,0.006,0
1549,125,100,0,0.9750674233243941,0.006,0
1559,41,100,0,0.9750674233243941,0.006,0
1569,197,100,0,0.9740386937131109,0.009,0
1579,200,100,0,0.9750674233243941,0.009,0
1589,17,100,0,0.9750674233243941,0.009,0
1599,122,100,0,0.9750674233243941,0.009,0
1609,47,100,0,0.9766742319909215,0.009,0
1619,182,99,0,0.9763310794172959,0.00909090909090909,0
1629,76,100,0,0.9750674233243941,0.012,0
1639,120,100,0,0.9760961529356774,0.009,0
1649,200,100,0,0.9760961529356774,0.009,0
1659,200,100,0,0.9760961529356774,0.009,0
1669,200,100,0,0.9760961529356774,0.009,0
1679,130,100,0,0.9760961529356774,0.009,1
1689,181,100,0,0.9750674233243941,0.009,0
1700,198,100,0,0.9749707023451333,0.009,1
1710,171,100,0,0.9749707023451333,0.009,0
1720,200,100,0,0.9749707023451333,0.009,0
1730,98,100,0,0.9749707023451333,0.009,0
1740,55,100,0,0.9749707023451333,0.009,0
