time_sec,algae,daphnia,beetles,d_stealth,d_bottom_feeding,algae_bottom
1279,153,117,4,0.35375559339760776,0.5171488394167191,12
1294,250,85,4,0.359072309521071,0.5350694999726079,6
1309,24,120,4,0.35219153349508214,0.5122540093115651,9
1324,243,107,4,0.3549365109384985,0.5085268637034569,28
1339,250,120,4,0.3517794001032049,0.5131480713205796,40
1354,247,119,4,0.3647107950475328,0.5413362800915996,8
1369,250,120,4,0.373672936091032,0.5580122726965873,23
1384,250,118,4,0.37373863545838176,0.5544369315353439,13
1399,39,120,4,0.3772811088449456,0.5515380192026446,17
1414,197,106,4,0.3718937630515907,0.5526778531351931,0
1429,250,120,4,0.3715676343735984,0.5560227883516256,48
1444,248,119,4,0.37247878226972087,0.5554103654203539,14
1459,41,120,4,0.37560286897916184,0.5556632825383343,11
1474,137,120,4,0.3800371881037036,0.5530518210430664,20
1489,250,120,4,0.3816805703473731,0.5536320327572485,24
1505,26,120,4,0.39313382233429733,0.5548256263521393,16
1520,250,98,4,0.3985615306522515,0.5545909654292652,41
1535,65,73,4,0.4066551441730595,0.5557959712824172,15
1550,28,105,4,0.4029221861642746,0.5561001456216557,19
1565,15,119,4,0.4057483844322071,0.5554084340833697,12
1580,38,120,4,0.4008230117344027,0.5538852644074289,4
1595,51,120,4,0.4141207225309105,0.5559718208323224,16
1610,201,117,4,0.4278240670131903,0.5547197725842576,10
1625,231,120,4,0.42032251374923096,0.5550845773222268,23
1640,33,119,4,0.4177179902438897,0.5551344899934153,22
1655,30,98,4,0.4108441510766945,0.5571873245606426,8
1670,242,75,4,0.39863014102970706,0.5586545996955186,17
1685,29,118,4,0.3922345794496479,0.5574552756798761,17
1700,249,120,4,0.3946281605659599,0.5567583828059118,12
1715,188,120,4,0.39441544472793727,0.5572161484171506,6
1730,243,115,4,0.39567743295566604,0.5567233004791771,49
1745,250,102,4,0.4008377810817232,0.555716358531775,14
1760,27,105,4,0.39595416054815447,0.5579124716064646,17
1776,216,40,4,0.4021532302478743,0.5566908236357596,43
1791,159,82,4,0.4143011550697144,0.5559643475733795,14
1806,250,85,4,0.41391441483833724,0.5552464421348698,9
1821,250,81,4,0.4073554630637233,0.5524883095414475,62
1836,250,114,4,0.4133488316289855,0.5476200204087782,0
1851,219,117,4,0.41055258825963353,0.5497537882397431,0
